instrument,market_position,qty,entry_price,exit_price,entry_time,exit_time,profit,cum_net_profit,commission,comment
NQ,BUY,1,15938.25,15937.0,2021-12-22 00:30:05,2021-12-22 00:30:05,-25.0,-25.0,4.2,fsl1
NQ,BUY,1,15937.25,15938.0,2021-12-22 00:30:05,2021-12-22 00:30:05,15.0,-10.0,4.2,fsl2
NQ,BUY,1,15938.5,15942.25,2021-12-22 00:30:24,2021-12-22 00:30:24,75.0,65.0,4.2,fsl1
NQ,BUY,1,15940.0,15942.0,2021-12-22 00:30:24,2021-12-22 00:30:24,40.0,105.0,4.2,fsl2
NQ,BUY,1,16490.5,16491.0,2022-01-03 21:24:00,2022-01-03 21:41:45,10.0,115.0,4.2,sl1
NQ,BUY,1,16491.0,16497.5,2022-01-03 21:24:00,2022-01-03 21:54:05,130.0,245.0,4.2,tp2
NQ,BUY,1,16498.25,16503.25,2022-01-03 21:54:10,2022-01-03 21:59:25,100.0,345.0,4.2,tp1
NQ,BUY,1,16498.5,16505.25,2022-01-03 21:54:10,2022-01-03 22:00:10,135.0,480.0,4.2,tp2
NQ,BUY,1,16506.0,16501.75,2022-01-03 22:00:15,2022-01-03 22:01:15,-85.0,395.0,4.2,sl1
NQ,BUY,1,16506.5,16501.75,2022-01-03 22:00:15,2022-01-03 22:01:15,-95.0,300.0,4.2,sl2
NQ,BUY,1,16500.75,16496.25,2022-01-03 22:01:22,2022-01-03 22:05:45,-90.0,210.0,4.2,sl1
NQ,BUY,1,16501.25,16480.0,2022-01-03 22:01:22,2022-01-03 22:05:45,-425.0,-215.0,4.2,sl2
NQ,BUY,1,16496.5,16501.5,2022-01-03 22:05:52,2022-01-03 22:21:20,100.0,-115.0,4.2,tp1
NQ,BUY,1,16496.5,16503.75,2022-01-03 22:05:52,2022-01-03 22:21:45,145.0,30.0,4.2,tp2
NQ,BUY,1,16502.5,16508.0,2022-01-03 22:54:00,2022-01-03 23:20:55,110.0,140.0,4.2,tp1
NQ,BUY,1,16502.5,16504.25,2022-01-03 22:54:00,2022-01-03 23:22:30,35.0,175.0,4.2,sl2
NQ,BUY,1,16505.25,16510.5,2022-01-03 23:22:35,2022-01-03 23:24:30,105.0,280.0,4.2,tp1
NQ,BUY,1,16505.25,16512.5,2022-01-03 23:22:35,2022-01-03 23:24:55,145.0,425.0,4.2,tp2
