instrument,market_position,qty,entry_price,exit_price,entry_time,exit_time,profit,cum_net_profit,commission,comment
NQ,BUY,1,15938.25,15937.0,2021-12-22 00:30:05,2021-12-22 00:30:05,-25.0,-25.0,4.2,fsl1
NQ,BUY,1,15937.25,15938.0,2021-12-22 00:30:05,2021-12-22 00:30:05,15.0,-10.0,4.2,fsl2
NQ,BUY,1,15938.5,15942.25,2021-12-22 00:30:24,2021-12-22 00:30:24,75.0,65.0,4.2,fsl1
NQ,BUY,1,15940.0,15942.0,2021-12-22 00:30:24,2021-12-22 00:30:24,40.0,105.0,4.2,fsl2
NQ,BUY,1,16490.5,16491.0,2022-01-03 21:24:00,2022-01-03 21:41:45,10.0,115.0,4.2,sl1
NQ,BUY,1,16491.0,16497.5,2022-01-03 21:24:00,2022-01-03 21:54:05,130.0,245.0,4.2,tp2
NQ,BUY,1,16498.25,16503.25,2022-01-03 21:54:10,2022-01-03 21:59:25,100.0,345.0,4.2,tp1
NQ,BUY,1,16498.5,16505.25,2022-01-03 21:54:10,2022-01-03 22:00:10,135.0,480.0,4.2,tp2
NQ,BUY,1,16506.0,16501.75,2022-01-03 22:00:15,2022-01-03 22:01:15,-85.0,395.0,4.2,sl1
NQ,BUY,1,16506.5,16501.75,2022-01-03 22:00:15,2022-01-03 22:01:15,-95.0,300.0,4.2,sl2
NQ,BUY,1,16500.75,16496.25,2022-01-03 22:01:22,2022-01-03 22:05:45,-90.0,210.0,4.2,sl1
NQ,BUY,1,16501.25,16480.0,2022-01-03 22:01:22,2022-01-03 22:05:45,-425.0,-215.0,4.2,sl2
NQ,BUY,1,16496.5,16501.5,2022-01-03 22:05:52,2022-01-03 22:21:20,100.0,-115.0,4.2,tp1
NQ,BUY,1,16496.5,16503.75,2022-01-03 22:05:52,2022-01-03 22:21:45,145.0,30.0,4.2,tp2
NQ,BUY,1,16502.5,16508.0,2022-01-03 22:54:00,2022-01-03 23:20:55,110.0,140.0,4.2,tp1
NQ,BUY,1,16502.5,16504.25,2022-01-03 22:54:00,2022-01-03 23:22:30,35.0,175.0,4.2,sl2
NQ,BUY,1,16505.25,16510.5,2022-01-03 23:22:35,2022-01-03 23:24:30,105.0,280.0,4.2,tp1
NQ,BUY,1,16505.25,16512.5,2022-01-03 23:22:35,2022-01-03 23:24:55,145.0,425.0,4.2,tp2
NQ,BUY,1,16517.25,16517.25,2022-01-03 23:40:00,2022-01-03 23:44:10,0.0,425.0,4.2,sl1
NQ,BUY,1,16520.5,16525.75,2022-01-03 23:50:00,2022-01-03 23:54:20,105.0,530.0,4.2,tp1
NQ,BUY,1,16520.25,16522.5,2022-01-03 23:50:00,2022-01-04 00:02:55,45.0,575.0,4.2,sl2
NQ,BUY,1,16528.0,16533.0,2022-01-04 00:12:00,2022-01-04 00:24:35,100.0,675.0,4.2,tp1
NQ,BUY,1,16528.5,16535.5,2022-01-04 00:12:00,2022-01-04 00:29:50,140.0,815.0,4.2,tp2
NQ,BUY,1,16536.25,16515.75,2022-01-04 00:30:00,2022-01-04 00:51:20,-410.0,405.0,4.2,sl1
NQ,BUY,1,16536.25,16532.25,2022-01-04 00:30:00,2022-01-04 00:51:20,-80.0,325.0,4.2,sl2
NQ,BUY,1,16534.0,16534.0,2022-01-04 00:52:00,2022-01-04 00:58:05,0.0,325.0,4.2,sl1
NQ,BUY,1,16550.5,16541.0,2022-01-04 00:52:00,2022-01-04 01:09:05,-190.0,135.0,4.2,tp2
NQ,BUY,1,16540.0,16532.5,2022-01-04 01:10:00,2022-01-04 01:15:35,-150.0,-15.0,4.2,sl1
NQ,BUY,1,16539.75,16532.25,2022-01-04 01:10:00,2022-01-04 01:15:35,-150.0,-165.0,4.2,sl2
NQ,BUY,1,15783.75,15779.25,2022-01-05 22:00:05,2022-01-05 22:00:46,-90.0,-255.0,4.2,sl1
NQ,BUY,1,15782.5,15779.25,2022-01-05 22:00:05,2022-01-05 22:00:46,-65.0,-320.0,4.2,sl2
NQ,BUY,1,15784.0,15779.75,2022-01-05 22:02:00,2022-01-05 22:02:20,-85.0,-405.0,4.2,sl1
NQ,BUY,1,15783.25,15764.0,2022-01-05 22:02:00,2022-01-05 22:02:20,-385.0,-790.0,4.2,sl2
NQ,BUY,1,15786.0,15781.75,2022-01-05 22:04:00,2022-01-05 22:04:55,-85.0,-875.0,4.2,sl1
NQ,BUY,1,15785.5,15781.75,2022-01-05 22:04:00,2022-01-05 22:04:55,-75.0,-950.0,4.2,sl2
